name,price,currency,price_per_m2,rooms,area
"Nowa Huta osiedle Wysokie, 3-pok, 56 m2",545000.0,zł,9732.0,3.0,56.0
Mieszkanie 69m2 Biezanow Prokocim od wlasciciela,925000.0,zł,13406.0,3.0,69.0
Sprzedam mieszkanie 84 m2 ul. Józefińska Kraków,995000.0,zł,11845.0,3.0,84.0
Nowoczesne i wyposażone 3 pokoje + balkon + garaż!,850000.0,zł,13912.0,3.0,61.1
"Mieszkanie na sprzedaż, ul. A. Vetulaniego, 29,66m",432295.0,zł,14575.0,1.0,29.66
Mieszkanie w nowej inwestycji Core,1139000.0,zł,20709.0,3.0,55.0
Okazja! Ustawne 3 pok z pięknym widokiem/tramwaj,399000.0,zł,8418.0,3.0,47.4
Mieszkanie 3 pok. oddzielne ! (pod wynajem),800000.0,zł,16667.0,3.0,48.0
Stylowy apartament z dużym tarasem,779000.0,zł,16376.0,2.0,47.57
"3 sypialnie w nowym budynku, parking, SPA, ogród",2932730.0,zł,23000.0,4.0,127.51
Ul. Gołaśka | 3 Osobne Pokoje | Oddzielna Kuchnia,599000.0,zł,9646.0,3.0,62.1
"Stare Podgórze, możliwość podziału na 2 lokale!",755000.0,zł,11362.0,3.0,66.45
"93m2 apartament na Kazimierzu, ul. Dietla",1860000.0,zł,19855.0,3.0,93.68
Sprzedam 3 pok. mieszkanie z ogródkiem Kraków 2022,670000.0,zł,13400.0,3.0,50.0
"Bezpośrednio, 5 pok. mieszkanie, Prądnik Biały",1400000.0,zł,12507.0,5.0,111.94
3-pokojowe | Po generalnym remoncie | Z widokiem…,598000.0,zł,12888.0,3.0,46.4
Piasta Towers | 3 pok | Garaż | nowoczesne,755000.0,zł,11771.0,3.0,64.14
"Sprzedam Mieszkanie z lokatorem, Dajwór",350000.0,zł,12069.0,1.0,29.0
Gotowe cena netto +23% Vat,365000.0,zł,9026.0,2.0,40.44
"Apartament z ogrodem Gryczane Wzgórze, Kredyt 2%",699000.0,zł,10533.0,3.0,66.36
Ustawna kawalerka | 24 m2 | Ruczaj| NOWA CENA,189000.0,zł,8008.0,1.0,23.6
Sprzedam 2-poziomowe mieszkanie - 47m2 + 15m,539000.0,zł,8694.0,3.0,62.0
"Kraków–Podgórze–ul. Leg. Piłsudskiego–92,31 m2",935000.0,zł,10129.0,4.0,92.31
Mieszkanie w atrakcyjnej Kamienicy. Zyblikiewicza,1249999.0,zł,14881.0,3.0,84.0
"Idealne dla rodziny, w pobliżu parków i zalewu",851465.3,",30zł",11861.0,4.0,71.79
Mieszkanie jak Apartament. Opcja poddasza +40m PUM,1067000.0,zł,14984.0,3.0,71.21
"Kraków, Bronowice, ul. Rydla",699000.0,zł,9986.0,3.0,70.0
"Apartament Centrum Krakowa, Rakowicka Novum",1793786.0,zł,19900.0,3.0,90.14
"Kamienica z windą, mieszkanie dwupoziomowe.",1799000.0,zł,15781.0,4.0,114.0
Ustawne mieszkanie blisko cetrum,442000.0,zł,12278.0,1.0,36.0
2 pokojowe mieszkanie ul. Kuczkowskiego,520000.0,zł,9612.0,2.0,54.1
Mieszkanie 3pokojowe Czyżyny Bieńczyce Dąbrowskiej,899000.0,zł,14690.0,3.0,61.2
Słoneczne mieszkanie -Stare podgórze.,875000.0,zł,16509.0,2.0,53.0
Mieszkanie 66 m2 – Bulwary Wiślane – Park ( ENG ),1097910.0,zł,16500.0,4.0,66.54
Emaus Garden | apartament B4-A20,,,,3.0,57.87
Emaus Garden | apartament B4-A19,,,,2.0,44.81
Emaus Garden | apartament B4-A18,,,,2.0,44.81
"Przybyszewskiego, 3 pokoje, wysoki standard, nowe",1440000.0,zł,19499.0,3.0,73.85
Kawalerka na os. Spółdzielczym REZERWACJA,333000.0,zł,10501.0,1.0,31.71
"4 pokoje + oddzielna kuchnia, 2 piętro, Kameralne",899000.0,zł,11987.0,4.0,75.0
Emaus Garden | apartament B2-A11,,,,3.0,61.9
Emaus Garden | apartament B2-A10,,,,3.0,56.35
Emaus Garden | apartament B2-A9,,,,4.0,87.47
Mieszkanie Płaszów Przewóz,799000.0,zł,16306.0,3.0,49.0
"Apartament 4 pokoje + taras, Wola Justowska",1424000.0,zł,13265.0,4.0,107.35
2 pokojowe M. na Banacha,560000.0,zł,14210.0,2.0,39.41
Dogodny system finansowania!,406000.0,zł,11941.0,2.0,34.0
kawalerka- Wola Justowska,240000.0,zł,12766.0,1.0,18.8
Kawalerka Stare Podgórze! Gotowa inwestycja,607840.0,zł,16000.0,1.0,37.99
Bezpośrednio od dewelopera brak PCC,593900.0,zł,12327.0,2.0,48.18
NOWE WYKOŃCZONE 47m² 2 pok garderoba al Pokoju,649000.0,zł,13809.0,2.0,47.0
Czyżyny | 2 pok. + Salon z aneksem + balkon | 45 m,559000.0,zł,12422.0,3.0,45.0
Mieszkanie 3 pokojowe na Krowodrzach 0%prowizji,537560.0,zł,15100.0,2.0,35.6
Przytulna Kawalerka z ogródkiem - Prądnik Czerwony,600000.0,zł,17143.0,1.0,35.0
"!!Okazja!! Ok.4650 Zł/M2 213,6 M2 Ok.Malborskiej",1199000.0,zł,5613.0,10.0,213.6
Mieszkanie ul. Wrocławska - bez pośredników,569000.0,zł,17242.0,2.0,33.0
2pokoje/Garaż/0% PCC/Właściciel/Ostatnie takie!HIT,379000.0,zł,9634.0,2.0,39.34
Czyżyny | 2 pok. + Salon z aneksem + balkon | 45 m,559000.0,zł,12422.0,3.0,45.0
3pok|loggia 6m2|os wc|Czyżyny|tramwaj|park|0%|Eng,606354.0,zł,10265.0,3.0,59.07
Apartamenty Cieszyńska 9 | mieszkanie C-43,933843.0,zł,17900.0,3.0,52.17
Apartamenty Cieszyńska 9 | mieszkanie C-62+63,2089050.0,zł,19000.0,5.0,109.95
"Mieszkanie 68m2 w systemie TBS, Kraków-Swoszowice",299000.0,zł,4397.0,3.0,68.0
Wykończone pod klucz|Funkcjonalny układ,719000.0,zł,13156.0,3.0,54.65
Mieszkanie w cichej części Kazimierza,1100000.0,zł,14531.0,2.0,75.7
2 pokojowe z widokiem na Tatry ul. Wysłouchów,389000.0,zł,8277.0,2.0,47.0
3-Pok Apartament Stare Miasto| Noble Residence,1990000.0,zł,23654.0,3.0,84.13
2 pokoje z osobną kuchnią na Włoskiej,489000.0,zł,10179.0,2.0,48.04
"Kraków, Bronowice, ul. Rydla",699000.0,zł,9986.0,3.0,70.0
"3 pokoje, 40 m2 po remoncie| os. Na Wzgórzach",435000.0,zł,10767.0,3.0,40.4
Mieszkanie 3 pok. oddzielne ! (pod wynajem),800000.0,zł,16667.0,3.0,48.0
Mieszkanie w historycznej części Nowej Huty,685000.0,zł,10703.0,3.0,64.0
"50,20 M2 - 1Piętro - Dwustronne - Zbrojarzy",375000.0,zł,7470.0,2.0,50.2
Apartament 94m2 przy Wiśle ul. Kościuszki,2900000.0,zł,30851.0,3.0,94.0
Nowe 3-pok| 2 Garaże | Komórka | OKAZJA,779000.0,zł,13289.0,3.0,58.62
Mieszkanie 2-pokojowe 45m2 Kraków Kozłówek,499000.0,zł,11089.0,2.0,45.0
Sprzedaż mieszkania,740000.0,zł,13214.0,3.0,56.0
3-pokojowe mieszkanie na Glogera z ogródkiem,670000.0,zł,14168.0,3.0,47.29
Blisko Arena Kraków | osobna kuchnia | balkon,500000.0,zł,13774.0,1.0,36.3
3-pokojowe mieszkanie 54m2 + balkon Bez Prowizji,,,,3.0,54.77
ul. Tesoro Verde Residence Parter z ogrodem,756000.0,zł,12000.0,3.0,63.0
3-pokojowe mieszkanie Zalesie/ Kobierzyńska,619000.0,zł,10672.0,3.0,58.0
"Mieszkanie, Kraków, Rusznikarska, 3 pokoje, 66 m2,",773000.0,zł,11694.0,3.0,66.1
4-pokojowe mieszkanie 87m2 + 2 balkony,,,,4.0,87.39
3-pokojowe mieszkanie 52m2 + balkon Bez Prowizji,,,,3.0,52.81
3-pokojowe mieszkanie 54m2 + balkon Bez Prowizji,,,,3.0,54.58
"PIEKNE, z klimatem!!! garaż, piwnica BRONOWICE",829000.0,zł,12754.0,3.0,65.0
Mieszkanie 2-pokojowe - ul. Myśliwska 3 - 43 m2,519000.0,zł,11981.0,2.0,43.32
"4-pokojowe mieszkanie, Kraków - osiedle Rżąka",830000.0,zł,10144.0,4.0,81.82
3-pokojowe mieszkanie 63m2 + loggia,758506.0,zł,11900.0,3.0,63.74
"Blisko Tauron Areny, Mieszkanie na start!",475000.0,zł,13808.0,2.0,34.4
"Płaszów, Gotowe do odbioru! Idealne dla rodziny!",706589.0,zł,11300.0,3.0,62.53
3 pok|61 m2| Zielona okolica!,515592.0,zł,8400.0,3.0,61.38
Przytulne mieszkanie w stylu BOHO blisko centrum,715000.0,zł,16373.0,2.0,43.67
"Romanowicza, Zabłocie, Apartament - BEZ PROWIZJI",978500.0,zł,17888.0,2.0,54.7
"2 pokoje, Prądnik Biały, blisko komunikacji",445332.0,zł,11800.0,2.0,37.74
"Kawalerka, Prądnik Biały, blisko komunikacji",401920.0,zł,12800.0,1.0,31.4
"Dwa niezależne pokoje, os. Słoneczne",398000.0,zł,8104.0,2.0,49.11
"Kraków, Bronowice, ul. Rydla",699000.0,zł,9986.0,3.0,70.0
Nowe 3-pok| 2 Garaże | Komórka | OKAZJA,779000.0,zł,13289.0,3.0,58.62
"Kraków, Borowinowa - mieszanie 4 pokoje, ogródek!",679000.0,zł,8655.0,4.0,78.45
Krowodrza - superkomfortowe 3 pokojowe,773000.0,zł,11694.0,3.0,66.1
Wola Justowska / 39m2 / Apartament /,577200.0,zł,14800.0,2.0,39.0
Mieszkanie sprzedaż,550000.0,zł,8088.0,3.0,68.0
"Okulickiego, 2-pokojowe 50m2, klimatyzowane",549000.0,zł,11002.0,2.0,49.9
Mieszkanie na sprzedaż w świetnej lokalizacji,549000.0,zł,13829.0,2.0,39.7
"4 pokoje + oddzielna kuchnia, 2 piętro, Kameralne",899000.0,zł,11987.0,4.0,75.0
3-pokojowe mieszkanie 69m2 + loggia Bez Prowizji,808470.0,zł,11700.0,3.0,69.1
2-pokojowe mieszkanie 41m2 + loggia,518072.0,zł,12400.0,2.0,41.78
2-pokojowe mieszkanie 41m2 + loggia Bezpośrednio,518072.0,zł,12400.0,2.0,41.78
Magnoliowa Polana 2 Nowa Inwestycja K + strych,458600.0,zł,7907.0,3.0,58.0
"3 pokoje | 69,94 m2 | do zamieszkania | garaż",960000.0,zł,13726.0,3.0,69.94
"Apartament Centrum Krakowa, Rakowicka Novum",1793786.0,zł,19900.0,3.0,90.14
Luksusowy dwupokojowy apartament na sprzedaż,1099000.0,zł,25600.0,2.0,42.93
Dwupokojowe Mieszkanie Stare Dębniki,740000.0,zł,19866.0,2.0,37.25
Mieszkanie Na Sprzedaż-Kraków-Wola Justowska-Mb,1240000.0,zł,12039.0,5.0,103.0
Piastowska 30 - mieszkanie 3 pokojowe - M6.1,1184994.0,zł,12900.0,3.0,91.86
Prestiżowy rejon. Po generalnym remoncie .,789000.0,zł,15780.0,3.0,50.0
Mieszkanie 86 m2 z ogródkiem Kraków - Nowa Huta,1001040.0,zł,11640.0,4.0,86.0
3-pokojowe mieszkanie 76m2 + loggia Bez Prowizji,1323994.0,zł,17257.0,3.0,76.72
4-pokojowe mieszkanie 80m2 + balkon Bez Prowizji,,,,4.0,80.98
3-pokojowe mieszkanie 78m2 + loggia,1360122.0,zł,17225.0,3.0,78.96
Kraków- Kliny Zacisze- ul. Bartla- TBS,379000.0,zł,5777.0,3.0,65.6
Komfortowe 3-p dla Rodziny w Zielonej Okolicy,692500.0,zł,10992.0,3.0,63.0
Kawalerka na sprzedaż Śródmieście/Grzegórzki,460000.0,zł,14839.0,1.0,31.0
"Kameralne mieszkanie w sercu Krakowa! | 37,89 m2 |",629000.0,zł,16601.0,2.0,37.89
3-pokojowe mieszkanie 64m2 + loggia,594048.0,zł,9262.0,3.0,64.14
"Ustawne, Ładny widok, Klucze na już, Bagry",556200.0,zł,12013.0,3.0,46.3
Plac Inwalidów | 3 pokojowe w centrum na poddaszu,420000.0,zł,7778.0,3.0,54.0
Kraków – Nowa Huta – os. Sportowe– 46 m2,549000.0,zł,11935.0,3.0,46.0
Przestronne mieszkanie w odnowionej kamienicy!,1299000.0,zł,15464.0,4.0,84.0
"Śródmieście, Ugorek , balkon",442000.0,zł,12278.0,1.0,36.0
Mieszkanie trzypokojowe w świetnej lokalizacji,579000.0,zł,11135.0,3.0,52.0
Ustawne 2-pok. do własnej aranżacji,510000.0,zł,9808.0,2.0,52.0
Apartament bezczynszowy z ogrodem Gryczane Wzgórze,1089000.0,zł,8783.0,4.0,123.99
"SYNDYK SPRZEDA LOKAL - KRAKÓW, UL. FELIŃSKIEGO 28",372300.0,zł,9723.0,2.0,38.29
"3 pokoje | 69,94 m2 | do zamieszkania | garaż",960000.0,zł,13726.0,3.0,69.94
ul. Kościuszki | 3 pokoje+kuchnia | 1 piętro | 93m,1399000.0,zł,15043.0,3.0,93.0
3-pok. na kameralnym i nowoczesnym osiedlu,859000.0,zł,10990.0,3.0,78.16
3 pokoje + kuchnia / Prądnik Czerwony /ul. Majora,465000.0,zł,8571.0,3.0,54.25
